[Log] Setting target position: – {x: 1218.9219367588921, y: 755.3685770751} (bundle.js, line 1)
[Log]   -> Neighbor (1055,871) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1057,871) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1057,873) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1033,897) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1033,899) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1030,895) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1032,895) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1045,882) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1047,882) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1047,884) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1034,896) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1034,898) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1056,870) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1058,870) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1058,872) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1031,894) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1033,894) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1046,881) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1048,881) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1048,883) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1035,895) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1035,897) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1032,893) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1034,893) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1057,869) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1059,869) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1059,871) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1047,880) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1049,880) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1049,882) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1036,894) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1036,896) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1033,892) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1035,892) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1037,893) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1037,895) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1048,879) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1050,879) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1050,881) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1058,868) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1060,868) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1060,870) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1034,891) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1036,891) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1038,892) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1038,894) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1049,878) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1051,878) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1051,880) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1059,867) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1061,867) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1061,869) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1035,890) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1037,890) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1039,891) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1039,893) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1050,877) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1052,877) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
